181511;46.60;1016.9;0.67;-1.65;-0.28;-0.45
181516;46.60;1016.9;0.66;-1.59;-0.27;-0.49
181521;46.60;1016.9;0.66;-1.52;-0.43;-0.58
181526;46.60;1016.9;0.66;-1.46;-0.43;-0.62
181530;46.80;1016.8;0.66;-1.39;-0.47;-0.64
181535;46.80;1016.8;0.65;-1.33;-0.47;-0.67
181540;46.80;1016.8;0.65;-1.27;-0.46;-0.71
181544;46.80;1016.8;0.66;-1.21;-0.58;-0.61
181549;46.90;1016.8;0.66;-1.15;-0.58;-0.65
181555;46.90;1016.8;0.67;-1.08;-0.72;-0.62
181560;46.90;1016.8;0.68;-1.02;-0.72;-0.66
181565;47.10;1016.8;0.69;-0.96;-0.78;-0.59
181571;47.10;1016.8;0.71;-0.90;-0.83;-0.67
181576;47.10;1016.8;0.72;-0.84;-0.83;-0.70
181580;47.10;1016.8;0.73;-0.79;-0.83;-0.73
181585;47.10;1016.8;0.75;-0.74;-1.06;-0.66
181589;47.30;1016.8;0.77;-0.70;-1.07;-0.69
181594;47.30;1016.8;0.79;-0.65;-1.08;-0.67
181598;47.30;1016.8;0.81;-0.61;-1.09;-0.69
181604;47.30;1016.8;0.84;-0.55;-1.29;-0.66
181608;47.50;1016.8;0.87;-0.51;-1.30;-0.69
181614;47.50;1016.8;0.91;-0.46;-1.52;-0.61
181618;47.50;1016.8;0.95;-0.42;-1.54;-0.64
181624;47.50;1016.8;0.99;-0.38;-1.66;-0.52
181628;47.60;1016.7;1.03;-0.35;-1.68;-0.55
181633;47.60;1016.7;1.07;-0.32;-1.73;-0.55
181647;47.80;1016.7;1.21;-0.22;-1.91;-0.50
181653;47.80;1016.7;1.26;-0.19;-1.96;-0.43
181657;47.80;1016.7;1.31;-0.17;-1.99;-0.45
181663;47.80;1016.7;1.36;-0.15;-2.01;-0.30
181667;48.00;1016.7;1.40;-0.13;-2.03;-0.31
181673;48.00;1016.7;1.46;-0.11;-2.13;-0.22
181677;48.00;1016.7;1.50;-0.10;-2.16;-0.23
181682;48.00;1016.7;1.55;-0.08;-2.18;-0.24
181686;48.10;1016.7;1.60;-0.07;-2.33;-0.14
181691;48.10;1016.7;1.65;-0.06;-2.36;-0.15
181696;48.10;1016.7;1.71;-0.06;-2.38;0.05
181701;48.10;1016.7;1.77;-0.05;-2.41;0.04
181706;48.30;1016.7;1.82;-0.05;-2.57;0.15
181711;48.30;1016.7;1.89;-0.06;-2.57;0.30
181716;48.30;1016.7;1.94;-0.07;-2.61;0.30
181722;48.60;1016.7;2.01;-0.08;-2.60;0.42
181727;48.60;1016.6;2.06;-0.10;-2.64;0.43
181731;48.60;1016.6;2.11;-0.11;-2.67;0.43
181736;48.60;1016.6;2.17;-0.13;-2.74;0.60
181740;48.60;1016.6;2.22;-0.14;-2.77;0.60
181745;48.70;1016.6;2.27;-0.16;-2.80;0.66
181749;48.70;1016.6;2.32;-0.18;-2.83;0.66
181755;48.70;1016.6;2.39;-0.21;-2.84;0.83
181759;48.70;1016.6;2.44;-0.24;-2.87;0.84
181765;48.90;1016.6;2.50;-0.27;-2.94;1.01
181769;48.90;1016.6;2.55;-0.30;-2.98;1.02
181774;48.90;1016.6;2.61;-0.34;-2.95;1.07
181779;48.90;1016.6;2.66;-0.37;-2.98;1.08
